	Jour	Annee	Mois	Jour.1	Depart	Arrivee	Pays	Km_jours	Km_cumule	Altitude	Lat_degres	Lat_minutes	Lat_decimale	Lat_radian	Long_degres	Long_minutes	Long_decimale	Long_radian	km_vol_oiseau	km_corde	km_segment	km_cumule	Unnamed: 22	Objet	Lieu	Contexte	Catégorie	Post	Jour xxx	Titre	Unnamed: 30	Poids	Taille	Couleur	Matiere	Origine	Unnamed: 36	Date	Coordonnees
157	158	2013	3	6	Tarfaya	Tarfaya	Morocco	0	3730	24	27	56.302	27.9384	0.4876	-12	#CHAMP!	#CHAMP!	#CHAMP!	2357.3	2343.9	0.3	3568.8		Fragment de coupe ongle	Tarfaya	"Attente	le vent est contre nous."	Carnet de bord	1	Jour 158	Tarfaya		5.37	45	4	0	2		mercredi 6 mars 2013	"N 27°56	302' W 12°55	459'"
195	196	2013	4	13	Nouakchott	Nouakchott	Mauritania	0	4655	25	18	4.749	18.0792	0.3155	-15	#CHAMP!	#CHAMP!	#CHAMP!	3497.6	3453.8	1.2	4915.0		Tige de métale	Chaudronnerie	Au revoir	Carnet de bord	1	Jour 196	Chaudronnerie		1.35	61	14	2	2		samedi 13 avril 2013	"N 18°04	749' W 15°59	032'"
144	145	2013	2	21	Vallée-du-Drâa	Tan-Tan	Morocco	30	3500	25	28	33.071	28.5512	0.4983	-10	#CHAMP!	#CHAMP!	#CHAMP!	2241.1	2229.6	32.5	3349.4		Quartz	Vallée du Drâa	CheckPoint 003	Carnet de bord	1	Jour 145	Vallée du Drâa		2.09	30	1	6	1		jeudi 21 février 2013	N 28°33.071' W 10°56.037'
871	872	2015	5	18	Route-de-Düzce	Yeniormanköy	Turkey	75	13103	26	40	46.184	40.7697	0.7116	30	36.707	30.6118	0.5343	2847.2	2823.5	63.6	66146.0		Patte de tortue 	"Yeniormanköy	 Turquie"	L'orage passe 	Almanach	0	Jour 872			0.93	31	17	7	1		lundi 18 mai 2015	"N 40°46	184' E 30°36	707'"
649	650	2014	10	8	Yangon	Yangon	Myanmar	0	10051	26	16	48.072	16.8012	0.2932	96	8.257	96.1376	1.6779	9366.3	8545.7	16.7	47026.1		Bougie	"Dagon center 2	 Yangon"	Entretien avec Chitko	Almanach	0	Jour 650			8.04	39	13	0	2		mercredi 8 octobre 2014	"N 16°48	0716' E 96°08.2568'"
450	451	2013	12	24	Capitola	Ano-Nuevo-State-Park	U.S.A	40	6620	26	37	8.727	37.1455	0.6483	-122	#CHAMP!	#CHAMP!	#CHAMP!	8750.6	8079.2	39.8	25979.4		Crayon gris	Año Nuevo State Park	Surf day	Carnet de bord	1	Jour 451	Año Nuevo State Park		1.28	63	2	0	2		mardi 24 décembre 2013	"N 37°08	727' W 122°19	861'"
507	508	2014	2	19	Surabaya	Surabaya	Indonesia	0	7611	26	-7	#CHAMP!	#CHAMP!	#CHAMP!	112	43.836	112.7306	1.9675	12588.4	10639.3	0.0	41018.8		Goupille	"Kedung Doro	 Surabaya"	Journée studieuse	Carnet de bord	1	Jour 508	"Kedung Doro	 Surabaya"		9.92	23	14	2	2		mercredi 19 février 2014	"S 07°15	782' E 112°43	836'"
642	643	2014	10	1	Eindu	Hpa-An	Myanmar	30	9736	26	16	49.344	16.8224	0.2936	97	35.184	97.5864	1.7032	9466.3	8619.7	18.7	46779.3		Chainette	"grotte Wawgon	 Hpa An"	Visite touristique	Almanach	0	Jour 643			0.86	35	14	0	2		mercredi 1 octobre 2014	"N 16°49	3440' E 97°35	1840'"
608	609	2014	8	28	Penang	Sungai-Petani	Malaysia	50	9111	26	5	38.568	5.6428	0.0985	100	29.334	100.4889	1.7539	10614.8	9429.6	30.6	45275.2		Drapeau Malais	"Sungai Petani	 Malaisie"	Pas de vélo dans le train	Almanach	0	Jour 609			1.8	275	0	4	2		jeudi 28 août 2014	"N 05°38	5680' E 100°29	334'"
646	647	2014	10	5	Bago	Bago	Myanmar	0	9941	27	17	20.171	17.3362	0.3026	96	29.802	96.4967	1.6842	9346.9	8531.4	2.1	46920.6		Filet	Bago	En attendant Yangon	Almanach	0	Jour 647			0.55	75	13	3	2		dimanche 5 octobre 2014	"N 17°20	1709' E 96°29	8021'"
